title,genres,type,developer,publisher,user_rating,metacritic_score
Dead Island,"Action, Shooter, RPG",,Techland,Deep Silver,3.48,74
Super Mega Worm,"Adventure, Arcade, Casual",,Deceased Pixel,Deceased Pixel,0.0,74
The Sims 3: Ambitions,Strategy,,The Sims Studio,Electronic Arts,4.04,74
Age of Wushu,"RPG, Massively Multiplayer",,Snail Games,Snail Games USA,3.5,74
They Bleed Pixels,"Action, Indie",Singleplayer,Spooky Squid Games,Spooky Squid Games,3.39,74
Drox Operative,"Action, RPG, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Soldak Entertainment,Soldak Entertainment,0.0,74
Where is my Heart?,"Action, Adventure, Casual, Indie, Puzzle",Singleplayer,"Die Gute Fabrik, Schulenburg Software",Die Gute Fabrik,2.92,74
Eador. Masters of the Broken World,"Strategy, Indie","Singleplayer, Multiplayer","Unicorn Games Studio, Snowbird Games, Snowbird Game Studios, Алексей Бокулев",Snowbird Games,2.77,74
Oceanhorn: Monster of Uncharted Seas,"Action, Adventure, RPG, Indie",Singleplayer,"FDG Entertainment GmbH & Co.KG, FDG Mobile Games GbR, Cornfox & Bros., Bros., Cornfox","FDG Entertainment, FDG Mobile Games GbR, Cornfox & Bros., Bros., Cornfox",3.47,74
ClaDun x2,RPG,Singleplayer,"NIS America, System Prisma",NIS America,0.0,74
Insurgency,"Action, Shooter, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",New World Interactive,New World Interactive,3.42,74
Neverwinter,"Action, RPG, Massively Multiplayer",Multiplayer,"Cryptic Studios, Perfect World Entertainment",Perfect World Entertainment,2.93,74
The Raven - Legacy of a Master Thief,Adventure,Singleplayer,"THQ Nordic, KING Art",THQ Nordic,3.17,74
Shadows: Heretic Kingdoms,"Action, RPG, Indie",Singleplayer,Games Farm,Kalypso Media,3.44,74
"Warhammer 40,000: Space Marine","Action, Shooter","Singleplayer, Multiplayer",Relic Entertainment,"SEGA, THQ",3.47,74
TRI: Of Friendship and Madness,"Adventure, Indie, Puzzle",Singleplayer,"Rat King, Rat King Entertainment",Rising Star Games,3.6,74
Unmechanical,"Adventure, Casual, Indie, Puzzle",Singleplayer,"Teotl Studios, Talawa Games","Teotl Studios, Teotl Studios Ek. for.",3.75,74
