title,genres,type,developer,publisher,user_rating,metacritic_score
Super Mario Galaxy 2,Platformer,,Nintendo,Nintendo,4.34,97
Grand Theft Auto IV: Complete Edition,"Action, Adventure",,Rockstar Toronto,Rockstar Games,4.58,95
Portal 2,"Shooter, Puzzle","Singleplayer, Multiplayer",Valve Software,"Electronic Arts, Valve",4.58,95
The Last Of Us Remastered,"Action, Adventure",Multiplayer,Naughty Dog,Sony Computer Entertainment,4.69,95
Red Dead Redemption,"Action, Shooter","Singleplayer, Multiplayer","Rockstar North, Rockstar Games, Double Eleven, Rockstar San Diego",Rockstar Games,4.42,95
The Last Of Us,"Action, Adventure",,Naughty Dog,Sony Computer Entertainment,4.54,95
The Legend of Zelda: Ocarina of Time 3D,"Adventure, RPG, Puzzle",,,Nintendo,4.55,94
The Elder Scrolls V: Skyrim Legendary Edition,"Adventure, RPG",,Bethesda Game Studios,Bethesda Softworks,4.59,94
BioShock Infinite,"Action, Shooter",Singleplayer,"Aspyr Media, 2K Australia, Irrational Games","2K Games, Aspyr",4.38,94
The Elder Scrolls V: Skyrim,"Action, RPG",Singleplayer,Bethesda Game Studios,Bethesda Softworks,4.42,94
Batman: Arkham City,Action,,Rocksteady Studios,Warner Bros. Interactive,4.41,94
Mass Effect 2,"Action, RPG",Singleplayer,BioWare,Electronic Arts,4.46,94
StarCraft II: Wings of Liberty,Strategy,,,Blizzard Entertainment,4.57,93
Cut the Rope,"Arcade, Casual, Indie, Puzzle",Singleplayer,ZeptoLab,Chillingo,3.78,93
Super Mario 3D World,"Action, Platformer",,Nintendo,Nintendo,4.37,93
The Legend of Zelda: Skyward Sword,Adventure,,Nintendo,Nintendo,4.14,93
StarCraft II,Strategy,,,Blizzard Entertainment,4.38,93
Uncharted 3: Drake's Deception,Action,,Naughty Dog,Sony Computer Entertainment,4.37,92
God of War III,Action,,SCE Studios Santa Monica,Sony Computer Entertainment,4.4,92
The Walking Dead: Season 1,"Action, Adventure",Singleplayer,Telltale Games,Telltale Games,4.36,92
Threes!,"Casual, Card, Educational, Indie, Puzzle",Singleplayer,"Greg Wohlwend, Sirvo, Asher Vollmer, BigGiantCircles",Sirvo,4.29,92
Galactic Civilizations II: Ultimate Edition,Strategy,Singleplayer,Stardock Entertainment,Stardock Entertainment,2.65,92
Fire Emblem Awakening,"RPG, Strategy",,Intelligent Systems,Nintendo,4.38,92
Rock Band 3,Arcade,,Harmonix Music Systems,"Electronic Arts, MTV Games, Mad Catz",4.15,92
Bayonetta 2,Action,,Platinum Games,Nintendo,4.35,92
Grand Theft Auto V,Action,"Singleplayer, Multiplayer","Rockstar North, Rockstar Games",Rockstar Games,4.47,92
Journey,"Adventure, Family, Indie","Singleplayer, Multiplayer","thatgamecompany, チョコマメ","Sony Computer Entertainment, Sony Interactive Entertainment, Annapurna Interactive, チョコマメ",4.32,92
Gears of War 3,Shooter,,Epic Games,Microsoft Studios,4.2,91
Mark of the Ninja,"Action, Indie, Platformer",Singleplayer,Klei Entertainment,"Microsoft Studios, Klei Entertainment",3.98,91
FEZ,"Action, Adventure, Indie, Puzzle, Platformer",Singleplayer,POLYTRON,"Microsoft Studios, Trapdoor, Corporation Polytron, Polytron",4.0,91
The Legend of Zelda: A Link Between Worlds,Adventure,,Nintendo,Nintendo,4.37,91
Asphalt 8: Airborne,"Racing, Arcade, Casual",Multiplayer,Gameloft,Gameloft,3.66,91
Shadow of the Colossus (2011),Action,,Sony Interactive Entertainment,,4.25,91
Batman: Arkham City - Game of the Year Edition,"Action, Adventure",Singleplayer,"Feral Interactive, Rocksteady Studios","Feral Interactive, Warner Bros. Interactive",4.4,91
Dark Souls II,"Action, RPG","Singleplayer, Multiplayer","BANDAI NAMCO Entertainment America, FromSoftware","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, FromSoftware",4.03,91
Deus Ex: Human Revolution - Director's Cut,"Action, RPG",Singleplayer,"Feral Interactive, Eidos Montreal",Square Enix,4.3,91
Batman: Arkham Asylum Game of the Year Edition,"Action, Adventure, Platformer",Singleplayer,"Feral Interactive, Rocksteady Studios","Square Enix, Warner Bros. Interactive",4.38,91
Forza Motorsport 4,Racing,"Singleplayer, Online multiplayer",Turn 10 Studios,Microsoft Studios,3.93,91
Shovel Knight: Treasure Trove,"Action, Adventure, Platformer",Singleplayer,Yacht Club Games,Yacht Club Games,4.32,91
Dishonored,"Action, Adventure, RPG",Singleplayer,"Bethesda Softworks, Arkane Studios",Bethesda Softworks,4.38,91
Halo: Reach,Shooter,,Bungie,Microsoft Studios,4.29,91
Where's My Water?,"Family, Puzzle",,Disney,Disney Interactive,3.97,90
Jetpack Joyride,"Action, Adventure, Arcade, Casual",,"Big Ant Studios, Halfbrick Studios, Halfbrick",Halfbrick,3.56,90
N.O.V.A. 2: Near Orbit Vanguard Alliance,"Action, Shooter",,Gameloft,Gameloft,4.33,90
The Legend of Zelda: The Wind Waker HD,Adventure,,,Nintendo,4.57,90
Total War: SHOGUN 2,Strategy,"Singleplayer, Multiplayer","Feral Interactive, Creative Assembly","SEGA, Feral Interactive",3.61,90
Dota 2,"Action, Massively Multiplayer",Multiplayer,Valve Software,Valve,3.07,90
The World Ends with You: Solo Remix,"Action, RPG",,Square Enix,Square Enix,4.3,90
MLB 11 The Show,Sports,,"Sony Interactive Entertainment, SCE Studios San Diego",Sony Computer Entertainment,3.57,90
World of Warcraft: Cataclysm,"RPG, Massively Multiplayer",,,Blizzard Entertainment,4.04,90
Brothers: A Tale of Two Sons,"Action, Adventure, Indie","Singleplayer, Multiplayer","Starbreeze Studios, Parables Games","505 Games, Parables Games",4.18,90
Sid Meier's Civilization V,Strategy,"Singleplayer, Multiplayer","Aspyr Media, Firaxis","2K Games, Aspyr",4.29,90
Mass Effect 3,"Action, RPG",,"BioWare, BioWare Edmonton",Electronic Arts,4.4,90
Pushmo,Puzzle,,Intelligent Systems,Nintendo,3.91,90
Modern Combat 2: Black Pegasus,"Action, Shooter","Singleplayer, Multiplayer",Gameloft,Gameloft,3.82,90
Hearthstone,"Strategy, Card","Singleplayer, Multiplayer",,Blizzard Entertainment,3.9,90
METAL GEAR SOLID HD EDITION,"Action, Shooter, Adventure",Multiplayer,"Konami Digital Entertainment, Bluepoint Games, Armature",Konami,4.35,90
Super Mario 3D Land,Platformer,,Nintendo,Nintendo,4.17,90
Spelunky,"Indie, Platformer","Singleplayer, Multiplayer, Local Multiplayer",Mossmouth,"Microsoft Studios, Mossmouth",3.68,90
Mirror's Edge (Mobile),"Action, Platformer",,Iron Monkey,"Electronic Arts, EA Mobile",0.0,89
Super Street Fighter IV: 3D Edition,Fighting,,Capcom,Capcom,3.71,89
Dark Souls: Artorias of the Abyss,"Action, RPG",,FromSoftware,"Bandai Namco Entertainment, BANDAI NAMCO Entertainment US, From Software",4.36,89
Monument Valley,"Adventure, Casual, Puzzle",,ustwo games,ustwo games,4.4,89
Infinity Blade II,"Action, Adventure",,Epic Games,Chair Entertainment Group,4.08,89
Rayman Legends,Platformer,"Singleplayer, Local Multiplayer, 4 Player Local","Ubisoft, Ubisoft Montpellier",Ubisoft Entertainment,4.16,89
Rise of Nations: Extended Edition,"Strategy, Simulation","Singleplayer, Multiplayer",Big Huge Games,Microsoft Studios,4.1,89
Persona 4 Golden,RPG,Singleplayer,"Atlus, P Studio","SEGA, Atlus",4.44,89
XCOM: Enemy Unknown,Strategy,"Singleplayer, Multiplayer, Cross-Platform Multiplayer","Feral Interactive, 2K, Firaxis","2K Games, Feral Interactive",4.2,89
Metal Gear Solid: Peace Walker,"Action, Adventure",,Kojima Productions,Konami,4.11,89
Dark Souls,"Action, RPG",Multiplayer,"BANDAI NAMCO Entertainment America, FromSoftware","Bandai Namco Entertainment, BANDAI NAMCO Entertainment US",4.34,89
Xenoblade Chronicles,"Action, RPG",,Monolith Soft,Nintendo,4.37,89
Borderlands 2,"Action, Shooter, RPG","Singleplayer, Multiplayer","Aspyr Media, 2K, Gearbox Software, Sony Computer Entertainment America","2K Games, Aspyr",4.02,89
Deus Ex: Human Revolution,"Action, RPG",,Eidos Montreal,Square Enix,4.36,89
Thirty Flights of Loving,"Adventure, Casual, Indie",Singleplayer,Blendo Games,Blendo Games,3.46,88
LittleBigPlanet (PS Vita),"Adventure, Puzzle, Platformer",,"Double Eleven, Tarsier Studios, XDev Studio Europe",Sony Interactive Entertainment,3.83,88
Mario Kart 8,Racing,Multiplayer,Nintendo,Nintendo,4.37,88
Diablo III: Ultimate Evil Edition,"Action, RPG",,,Blizzard Entertainment,4.05,88
The Room Two,"Indie, Puzzle",Singleplayer,Fireproof Games,Fireproof Games,4.29,88
Far Cry 3,"Action, Shooter","Singleplayer, Multiplayer","Ubisoft, Ubisoft Montreal",Ubisoft Entertainment,4.25,88
Super Smash Bros. Wii U,"Action, Arcade, Fighting",,"Bandai Namco Entertainment, Sora",Nintendo,4.1,88
Guacamelee! Gold Edition,"Action, Adventure, Indie",Singleplayer,,DrinkBox Studios,3.85,88
Assassin’s Creed Brotherhood,Action,"Singleplayer, Multiplayer",Ubisoft Montreal,Ubisoft Entertainment,4.27,88
BioShock 2,"Action, Shooter","Singleplayer, Multiplayer","Feral Interactive, 2K, Digital Extremes, 2K Australia, 2K Marin, 2K China","2K Games, Feral Interactive",4.07,88
Diablo III,"Action, RPG",,,Blizzard Entertainment,4.09,88
Metro 2033 Redux,"Action, Shooter","Singleplayer, Multiplayer","Deep Silver, 4A Games, Fishlabs Entertainment","Deep Silver, Koch Media, FISHLABS",4.1,88
The Witcher 2: Assassins of Kings Enhanced Edition,RPG,Singleplayer,CD PROJEKT RED,"1C-SoftClub, CD PROJEKT RED",4.16,88
Torchlight II,"Action, RPG","Singleplayer, Multiplayer, Cross-Platform Multiplayer","Runic Games, Perfect World Entertainment","Perfect World Entertainment, Runic Games, Perfect World",3.84,88
Dragon Age: Origins - Ultimate Edition,RPG,Singleplayer,BioWare,Electronic Arts,4.44,88
The Witcher 2: Assassins of Kings,RPG,,CD PROJEKT RED,"CD PROJEKT RED, Atari",4.32,88
The Last of Us: Left Behind,"Action, Shooter, Adventure",,Naughty Dog,Sony Computer Entertainment,4.46,88
The Stanley Parable,"Adventure, Indie",Singleplayer,Galactic Cafe,Galactic Cafe,4.37,88
Super Smash Bros. for Nintendo 3DS,"Arcade, Fighting",,"Bandai Namco Entertainment, Sora",Nintendo,3.85,88
NHL 11,Sports,,Electronic Arts Canada,Electronic Arts,3.6,88
Rayman Jungle Run,"Action, Arcade, Casual",,"Ubisoft, Ubisoft Montpellier",Ubisoft Entertainment,3.93,88
Super Hexagon,"Action, Arcade, Casual, Indie",Singleplayer,Terry Cavanagh,Terry Cavanagh,3.75,88
"Pokémon X, Y","Adventure, RPG",,Game Freak,"Nintendo, The Pokemon Company",3.92,88
Limbo,"Action, Adventure, Indie, Puzzle, Platformer",Singleplayer,"Double Eleven, Playdead, 鱼俞","Microsoft Studios, Playdead, 鱼俞",4.14,88
Dead Space Mobile,"Action, Shooter",,Iron Monkey,Electronic Arts,3.95,88
Animal Crossing: New Leaf,"Simulation, Casual, Family",,Nintendo,Nintendo,4.35,88
NBA 2K11,Sports,,Visual Concepts,2K Sports,3.61,87
TowerFall Ascension,"Action, Indie, Platformer","Singleplayer, Multiplayer, Local Multiplayer, 4 Player Local","Matt Makes Games, Matt Thorson",Matt Makes Games,3.95,87
Divinity: Original Sin,"RPG, Strategy, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Larian Studios,Larian Studios,4.18,87
Diablo III: Reaper of Souls,"Action, RPG",,,Blizzard Entertainment,4.17,87
DiRT 3,"Sports, Racing, Arcade",,Codemasters,Codemasters,3.67,87
Blueprint 3D HD,"Family, Puzzle",,FDG Mobile Games GbR,FDG Mobile Games GbR,0.0,87
Angry Birds Rio,"Arcade, Casual, Puzzle",,"Rovio Mobile, Rovio Entertainment, Rovio Entertainment Oyj","Rovio Entertainment, Rovio Entertainment Oyj, Rovio Mobile",3.58,87
Sins of a Solar Empire: Trinity,Strategy,"Singleplayer, Multiplayer","Stardock Entertainment, Ironclad Games",Stardock Entertainment,2.68,87
Infinity Blade,"Action, Adventure",,Epic Games,Chair Entertainment Group,4.13,87
"Pokémon HeartGold, SoulSilver",RPG,,,Nintendo,4.39,87
Shadowrun: Dragonfall - Director's Cut,"Adventure, RPG, Strategy, Indie",Singleplayer,Harebrained Schemes,"Paradox Interactive, Harebrained Holdings, Harebrained Schemes",3.81,87
Super Meat Boy,"Indie, Platformer",Singleplayer,"NVIDIA Lightspeed Studios, Team Meat","Microsoft Studios, BlitWorks",3.98,87
Max Payne 3,"Action, Shooter","Singleplayer, Multiplayer",Rockstar Games,Rockstar Games,4.26,87
Year Walk,"Adventure, RPG, Indie",Singleplayer,"Simogo, Dakko Dakko",Simogo,3.96,87
Tearaway,"Action, Adventure",,Media Molecule,Sony Interactive Entertainment,4.15,87
Plants vs. Zombies GOTY Edition,Strategy,Singleplayer,PopCap Games,"Electronic Arts, PopCap Games",4.33,87
Oddworld: New 'n' Tasty,"Action, Adventure, Indie, Platformer",Singleplayer,"Oddworld Inhabitants, Just Add Water, Nephilim Games",Oddworld Inhabitants,3.52,87
The Swapper,"Action, Adventure, Indie, Puzzle, Platformer",Singleplayer,"Curve Digital, Facepalm Games","Curve Digital, Facepalm Games",3.53,87
Europa Universalis IV,Strategy,"Singleplayer, Multiplayer, Cross-Platform Multiplayer","Paradox Development Studio, Paradox Tinto",Paradox Interactive,4.22,87
World of Warcraft: Warlords of Draenor,"RPG, Massively Multiplayer",,,Blizzard Entertainment,3.53,87
Battlefield: Bad Company 2,"Action, Shooter","Singleplayer, Multiplayer","Electronic Arts, Electronic Arts DICE, Digital Illusions CE",Electronic Arts,4.13,87
Pikmin 3,"Action, Adventure, Strategy",,"Nintendo, Eighting",Nintendo,4.27,87
Monkey Island 2 Special Edition: LeChuck’s Revenge,"Action, Adventure",Singleplayer,LucasArts Entertainment,"Disney Interactive, LucasArts Entertainment",4.26,87
"Pokémon Black, White","Adventure, RPG",,Game Freak,Nintendo,4.22,87
Dead Space 2,"Action, Shooter","Singleplayer, Multiplayer","Electronic Arts, Visceral Games",Electronic Arts,4.38,87
Sin & Punishment: Star Successor,"Shooter, Arcade",,TREASURE Co.,Nintendo,4.33,87
Red Dead Redemption: Undead Nightmare,"Action, Shooter, Adventure",Multiplayer,"Rockstar North, Rockstar Games, Rockstar San Diego",Rockstar Games,4.0,87
NCAA Football 11,Sports,,Electronic Arts Tiburon,Electronic Arts,3.47,86
Battlefield: Bad Company 2 - Vietnam,"Action, Shooter","Singleplayer, Multiplayer","Electronic Arts DICE, Electronic Arts Digital Illusions Creative Entertainment",Electronic Arts,4.09,86
BlazBlue Calamity Trigger,"Action, Fighting","Singleplayer, Multiplayer, Local Multiplayer","Arc System Works, Aksys Games, Arc System Works Co.","H2 Interactive Co, H2 Interactive",3.69,86
Tribes: Ascend,Action,"Singleplayer, Multiplayer",Hi-Rez Studios,Hi-Rez Studios,3.04,86
Assassin's Creed 2 Deluxe Edition,"Action, Adventure","Singleplayer, Multiplayer",Ubisoft Montreal,Ubisoft Entertainment,4.33,86
Rayman Origins,"Action, Arcade, Family, Platformer","Singleplayer, Local Multiplayer, 4 Player Local","Ubisoft, Feral Interactive, Ubisoft Casablanca, UBIart Montpellier","Ubisoft Entertainment, Feral Interactive",4.13,86
Dragon Age: Inquisition,"Action, RPG, Strategy","Singleplayer, Multiplayer","BioWare, BioWare Edmonton",Electronic Arts,3.8,86
Bug Princess,"Action, Arcade, Casual",Singleplayer,"CAVE Interactive CO.,LTD., CAVE CO.,LTD.","Plug In Digital, Degica, CAVE Co",4.46,86
Game Dev Story,"Adventure, Strategy, Simulation, Casual, Indie","Singleplayer, Local Multiplayer","SNK, Kairosoft",Kairosoft,4.09,86
Total War: Shogun 2 - Fall of the Samurai,Strategy,"Singleplayer, Multiplayer","Feral Interactive, Creative Assembly",SEGA,4.39,86
FIFA 14,Sports,,Electronic Arts Canada,Electronic Arts,3.43,86
Guacamelee! Super Turbo Championship Edition,"Action, Indie, Platformer","Singleplayer, Local Multiplayer, 4 Player Local","DrinkBox Studios, Broken Rules",DrinkBox Studios,3.55,86
Mass Effect 3: Citadel,"Action, Shooter, RPG",,BioWare,Electronic Arts,4.46,86
Mass Effect 2: Lair of the Shadow Broker,"Action, Shooter, Adventure, RPG",,BioWare,Electronic Arts,4.47,86
God of War: Ghost of Sparta,"Action, Adventure",,Ready at Dawn Studios,Sony Interactive Entertainment,4.15,86
NHL 12,Sports,,Electronic Arts Canada,Electronic Arts,3.23,86
Football Manager 2013,"Strategy, Sports",,,SEGA,3.76,86
Rayman Fiesta Run,"Action, Adventure",,Ubisoft,Ubisoft Entertainment,4.11,86
Astebreed,"Action, Shooter, Arcade, Indie",Singleplayer,"ACTIVE GAMING MEDIA, Edelweiss","AGM PLAYISM, Active Gaming Media",3.48,86
Guacamelee!,"Action, Arcade",,DrinkBox Studios,DrinkBox Studios,3.87,86
skate.,"Action, Sports","Multiplayer, Cross-Platform Multiplayer","Electronic Arts Vancouver, Full Circle",Electronic Arts,4.18,86
Bastion,"Action, Adventure, RPG, Indie",Singleplayer,"Warner Bros. Interactive, Supergiant Games","Warner Bros. Interactive, Supergiant Games",4.15,86
Where's My Mickey?,"Family, Puzzle",,Disney,Disney Interactive,0.0,86
Battlefield 3,"Action, Shooter","Singleplayer, Multiplayer",Electronic Arts DICE,Electronic Arts,4.08,86
Horn,"Action, Adventure",,Phosphor Games Studio,Phosphor Games,0.0,86
Kirby's Epic Yarn,Platformer,,Good-Feel,Nintendo,3.97,86
Saints Row IV,"Action, Adventure","Singleplayer, Multiplayer",Volition,Deep Silver,3.82,86
Path of Exile,"Action, RPG, Massively Multiplayer, Indie","Singleplayer, Multiplayer, Online multiplayer",Grinding Gear Games,Grinding Gear Games,3.65,86
XCOM: Enemy Within,"Action, Strategy, Simulation",Multiplayer,"2K, Firaxis",2K Games,4.46,86
Gone Home,"Adventure, Indie",Singleplayer,The Fullbright Company,"Annapurna Interactive, Majesco Entertainment, The Fullbright Company",3.74,86
Tomb Raider: Definitive Edition,"Action, Adventure",Multiplayer,"Feral Interactive, Square Enix, NVIDIA Lightspeed Studios, Crystal Dynamics","Square Enix, Feral Interactive",4.1,86
The Binding of Isaac: Rebirth,"Action, RPG",Singleplayer,"Nicalis, Edmund McMillen",Nicalis,4.32,86
Tomb Raider (2013),Action,"Singleplayer, Multiplayer",Crystal Dynamics,Square Enix,4.06,86
Halo 4,"Action, Shooter",,"343 Industries, Certain Affinity",Microsoft Studios,3.83,86
Need For Speed: Hot Pursuit,"Racing, Arcade","Singleplayer, Multiplayer","Electronic Arts, Criterion Games",Electronic Arts,3.86,86
Forza Horizon 2,"Racing, Arcade","Singleplayer, Multiplayer","Sumo Digital, Playground Games",Microsoft Studios,4.21,86
Eiyuu Densetsu: Zero no Kiseki,RPG,,"Nihon Falcom, Falcom","Kadokawa Shoten, Falcom",3.88,85
God of Blades,Fighting,,White Whale Games,White Whale Games,0.0,85
Tatsunoko VS. Capcom: Ultimate All Stars,Fighting,,Eighting,Capcom,4.29,85
Tiny Wings,"Action, Arcade, Casual",Multiplayer,Andreas Illiger,Andreas Illiger,4.17,85
The Sly Collection,"Action, Adventure, Arcade",,"Sony Interactive Entertainment, Sucker Punch Productions, Sanzaru Games",Sony Computer Entertainment,4.46,85
Donkey Kong Country Returns,Platformer,,Retro Studios,Nintendo,4.38,85
Framed,"Adventure, Arcade, Puzzle",,"Noodlecake Studios, Loveshack Entertainment, Loveshack",Loveshack Entertainment,4.11,85
Middle-earth: Shadow of Mordor,"Action, RPG",Singleplayer,"Feral Interactive, Monolith Productions","Feral Interactive, Warner Bros. Interactive",3.91,85
BattleBlock Theater,"Action, Adventure, Casual, Indie, Platformer","Singleplayer, Multiplayer, Online multiplayer, Local Multiplayer",The Behemoth,"Microsoft Studios, The Behemoth",3.84,85
Assassin’s Creed IV: Black Flag,Action,"Singleplayer, Multiplayer","Ubisoft, Ubisoft Montreal, Ubisoft Toronto, Ubisoft Bucharest",Ubisoft Entertainment,4.15,85
Crimzon Clover: World Ignition,"Action, Shooter, Arcade, Indie",Singleplayer,"YOTSUBANE, Adventure Planning Service",Degica,3.56,85
Trials Evolution: Gold Edition,"Action, Racing","Singleplayer, Multiplayer, Local Multiplayer","Ubisoft Shanghai, Redlynx",Ubisoft Entertainment,3.82,85
Mario Kart 7,Racing,,"Nintendo, Retro Studios",Nintendo,4.1,85
BIT.TRIP Presents... Runner2: Future Legend of Rhythm Alien,"Action, Adventure, Arcade, Indie, Platformer",Singleplayer,"Choice Provisions, Gaijin Games","Aksys Games, Choice Provisions, Gaijin Games",3.57,85
Rogue Legacy,"Action, RPG, Indie, Platformer",Singleplayer,"Abstraction Games, 8-4, Cellar Door Games","8-4, Cellar Door Games",3.87,85
Shovel Knight,"Action, Adventure, Indie, Platformer",Singleplayer,"8-4, Yacht Club Games",Yacht Club Games,4.3,85
Titanfall,"Action, Shooter",Multiplayer,"Electronic Arts, Respawn Entertainment, Bluepoint Games",Electronic Arts,4.0,85
Dark Souls: Prepare To Die Edition,"Action, RPG","Singleplayer, Multiplayer",FromSoftware,Bandai Namco Entertainment,4.37,85
Amnesia: The Dark Descent,"Action, Adventure, Indie",Singleplayer,Frictional Games,Frictional Games,3.65,85
Hotline Miami,"Action, Shooter, Arcade, Indie",Singleplayer,"Devolver Digital, Dennaton Games",Devolver Digital,4.38,85
Cut the Rope: Experiments,"Action, Puzzle",,ZeptoLab,ZeptoLab UK,4.15,85
FIFA 12,Sports,,"Electronic Arts Canada, HB Studios",Electronic Arts,3.42,85
Crysis 2,"Action, Shooter",Multiplayer,"Electronic Arts, Crytek",Electronic Arts,3.85,85
The Talos Principle,"Adventure, Indie, Puzzle",Singleplayer,"Devolver Digital, Croteam","Devolver Digital, GHI Media, Croteam",4.15,85
Call of Duty: Modern Warfare 3,"Action, Shooter","Singleplayer, Multiplayer","Aspyr Media, Raven Software, Treyarch, Infinity Ward, Sledgehammer Games, Neversoft Entertainment","Aspyr, Activision Blizzard, Activison, ak tronic Software & Services",3.78,85
Assetto Corsa,"Simulation, Sports, Racing, Indie","Singleplayer, Multiplayer, Online multiplayer","505 Games, Kunos Simulazioni","505 Games, Kunos Simulazioni",3.91,85
Star Wars: The Old Republic,"RPG, Massively Multiplayer",Multiplayer,"BioWare, BioWare Austin",Electronic Arts,3.86,85
Junk Jack,"Action, Adventure, Simulation, Educational, Indie","Singleplayer, Multiplayer, Cross-Platform Multiplayer",Pixbits,Pixbits,3.43,85
Turbo Dismount,"Action, Simulation, Indie","Singleplayer, Multiplayer",Secret Exit,Secret Exit,3.73,85
Football Manager 2014,"Strategy, Sports",,"Hardlight, Little Stone Software",SEGA,4.09,85
Mortal Kombat (2011),Fighting,,NetherRealm Studios,Warner Bros. Interactive,4.32,85
"Papers, Please","Simulation, Educational, Indie, Puzzle",Singleplayer,"Lucas Pope, Dukope1, 3909",3909,4.38,85
Halo: The Master Chief Collection,"Action, Adventure","Singleplayer, Multiplayer, Online multiplayer","Splash Damage, 343 Industries, Ruffian Games",Microsoft Studios,4.25,85
FINAL FANTASY X/X-2 HD Remaster,RPG,Singleplayer,"Square Enix, Virtuos",Square Enix,4.33,85
Devil's Attorney,"Strategy, Puzzle",,"Senri, 1337 Game Design","Anders Hejdenberg, Senri",0.0,85
Batman: Arkham City Armored Edition,"Action, Adventure",,Rocksteady Studios,Warner Bros. Interactive,3.88,85
"Warhammer 40,000: Dawn of War II Chaos Rising","RPG, Strategy","Singleplayer, Multiplayer","Feral Interactive, Relic Entertainment","SEGA, Feral Interactive, THQ",3.95,85
Mortal Kombat (PS Vita),"Action, Fighting",,NetherRealm Studios,Warner Bros. Interactive,4.0,85
Frozen Synapse,"Action, Strategy, Indie","Singleplayer, Multiplayer, Asynchronous Multiplayer",Mode 7,Mode 7,3.29,85
DmC: Devil May Cry,"Action, Adventure",Singleplayer,Ninja Theory,Capcom,4.02,85
Forza Horizon,"Racing, Arcade","Singleplayer, Multiplayer",Playground Games,Microsoft Studios,4.36,85
Ultimate General:  Gettysburg,"Strategy, Simulation, Indie",,"Game-Labs, Game Labs","Game-Labs, Gamelabs",0.0,
Persona 4 Arena,Fighting,,"Atlus, Arc System Works",Atlus,3.84,84
Giana Sisters: Twisted Dreams - Rise of the Owlverlord,"Action, Indie",Singleplayer,Black Forest Games,"HandyGames, Black Forest Games",3.24,84
Cut the Rope: Time Travel,"Action, Puzzle",,ZeptoLab,ZeptoLab UK,3.73,84
Etrian Odyssey IV: Legends of the Titan,RPG,,Atlus,Atlus,4.0,84
Maximo: Ghosts To Glory,"Action, Platformer",,Capcom,Capcom,3.5,84
NHL 13,Sports,,"Electronic Arts Canada, Electronic Arts Sports",Electronic Arts,3.03,84
Beyond Good & Evil HD,"Action, Adventure",,Ubisoft,Ubisoft Entertainment,3.93,84
Donkey Kong Country: Tropical Freeze,Platformer,Singleplayer,Retro Studios,Nintendo,4.35,84
80 Days,"Adventure, RPG, Strategy, Simulation, Indie",Singleplayer,"inkle, Cape Guy, Inkle Studios","Inkle, Inkle Studios",3.81,84
SpaceChem,"Strategy, Simulation, Indie, Puzzle",Singleplayer,Zachtronics,Zachtronics,3.09,84
Trine 2: Complete Story,"Action, Indie, Puzzle, Platformer","Singleplayer, Multiplayer, Local Multiplayer, Cross-Platform Multiplayer",Frozenbyte,Frozenbyte,3.72,84
F1 2010,"Sports, Racing","Singleplayer, Multiplayer",Codemasters,Codemasters,3.46,84
SHIFT 2 UNLEASHED,Racing,"Singleplayer, Multiplayer","Electronic Arts, Slightly Mad Studios",Electronic Arts,3.53,84
Ni no Kuni: Wrath of the White Witch,RPG,,"BANDAI NAMCO Entertainment America, Level 5, Studio Ghibli",Bandai Namco Entertainment,4.19,84
PlanetSide 2,"Action, Shooter, Massively Multiplayer",Multiplayer,Daybreak Games Company,Daybreak Game Company,2.97,84
The Silent Age,"Adventure, Indie, Puzzle",Singleplayer,House On Fire,"Meridian4, House on Fire ApS",3.5,84
South Park: The Stick of Truth,"Adventure, RPG",Singleplayer,Obsidian Entertainment,Ubisoft Entertainment,4.22,84
Castlevania: Lords of Shadow,"Action, Adventure",,"Konami Digital Entertainment, Kojima Productions, Mercury Steam Entertainment",Konami,3.93,84
Makai Senki Disgaea 4 Return,Strategy,,NIS America,,4.08,84
Dungeon Village,"RPG, Strategy, Simulation, Arcade, Casual, Indie",Singleplayer,Kairosoft,Kairosoft,0.0,84
New Super Mario Bros. U,"Adventure, Platformer",,Nintendo,Nintendo,3.89,84
Unity of Command: Stalingrad Campaign,"Strategy, Indie","Singleplayer, Multiplayer",2x2 Games,"Dvaput, 2x2 Games",2.85,84
Pinball FX2,"Simulation, Sports, Casual","Singleplayer, Local Multiplayer",Zen Studios,"Microsoft Studios, Zen Studios",3.31,84
FIFA 11,Sports,,Electronic Arts Canada,Electronic Arts,3.67,84
Dust: An Elysian Tail,"Action, RPG, Indie, Platformer",Singleplayer,Humble Hearts,"Microsoft Studios, Humble Hearts",3.63,84
RESOGUN,Arcade,,"Sony Interactive Entertainment, Housemarque, Climax Group, XDev Studio Europe",Sony Computer Entertainment,3.73,84
RIFT,"Action, Adventure, RPG, Strategy, Massively Multiplayer","Singleplayer, Multiplayer, Online multiplayer","Trion Worlds, HaZimation","Trion Worlds, HaZimation",2.91,84
Marvel vs. Capcom 3: Fate of Two Worlds,"Arcade, Fighting",,Capcom,Capcom,3.5,84
God of War: Origins Collection,"Action, Adventure",,"Sony Interactive Entertainment, Ready at Dawn Studios",Sony Computer Entertainment,4.0,84
Dark Souls II: Crown of the Ivory King,"Action, RPG",,FromSoftware,Bandai Namco Entertainment,3.97,84
